Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,New Club
2011,a003,Barcelona,1,Víctor Valdés,ESP,G,1.83,78,14-01-82,L'Hospitalet de Llobregat,Barcelona B,
2011,a003,Barcelona,2,Daniel Alves,BRA,D,1.73,64,6-5-83,Juazeiro,Sevilla,
2011,a003,Barcelona,3,Gerard Piqué,ESP,D,1.92,85,2-2-87,Barcelona,Manchester U,
2011,a003,Barcelona,5,Carles Puyol,ESP,D,1.78,80,13-04-78,La Pobla de Segur,Barcelona B,
2011,a003,Barcelona,6,Xavi,ESP,M,1.7,68,25-01-80,Terrassa,Barcelona B,
2011,a003,Barcelona,7,David Villa,ESP,F,1.75,69,3-12-81,Langreo,Valencia,
2011,a003,Barcelona,8,Andrés Iniesta,ESP,M,1.7,65,11-5-84,Fuentealbilla,Barcelona B,
2011,a003,Barcelona,9,Bojan Krkić,ESP,F,1.7,65,28-08-90,Linyola,Barcelona B,
2011,a003,Barcelona,10,Lionel Messi,ARG,M,1.69,67,24-06-87,Santa Fe,Barcelona B,
2011,a003,Barcelona,11,Jeffrén Suárez,ESP,F,1.76,73,20-01-88,Ciudad Bolivar,Barcelona B,
2011,a003,Barcelona,13,José Manuel Pinto,ESP,G,1.85,82,15-11-75,Puerto de Santa Maria,Celta Vigo,
2011,a003,Barcelona,14,Javier Mascherano,ARG,M,1.78,77,8-6-84,Rosario,Liverpool,
2011,a003,Barcelona,15,Seydou Keita,MLI,M,1.83,77,16-01-80,Bamako,Sevilla,
2011,a003,Barcelona,16,Sergio Busquets,ESP,M,1.89,73,16-07-88,Sabadell,Barcelona B,
2011,a003,Barcelona,17,Pedro,ESP,F,1.69,64,28-07-87,Santa Cruz de Tenerife,Barcelona B,
2011,a003,Barcelona,18,Gabriel Milito,ARG,D,1.79,80,7-9-80,Bernal,Zaragoza,
2011,a003,Barcelona,19,Maxwell,BRA,D,1.75,73,27-08-81,Vila Velha,Internazionale,
2011,a003,Barcelona,20,Ibrahim Afellay,NED,M,1.81,68,2-4-86,Utrecht,PSV Eindhoven,
2011,a003,Barcelona,21,Adriano,BRA,M,1.72,67,26-10-84,Curitiba,Sevilla,
2011,a003,Barcelona,22,Eric Abidal,FRA,D,1.86,75,11-7-79,Lyon,Lyon,
2011,a003,Barcelona,26,Andreu Fontàs,ESP,M,1.81,72,14-11-89,Banyoles,Barcelona B,
2011,a003,Barcelona,27,Nolito,ESP,F,1.72,65,15-10-86,Sanlúcar de Barrameda,Barcelona B,
2011,a003,Barcelona,28,Sergi Roberto,ESP,M,1.73,70,7-2-92,Reus,Barcelona B,
2011,a003,Barcelona,29,Víctor Vázquez,ESP,F,1.77,72,20-01-87,Barcelona,Barcelona B,
2011,a003,Barcelona,30,Thiago Alcántara,ESP,M,1.65,60,11-4-91,Bari,Barcelona B,
2011,a003,Barcelona,31,Rubén Miño,ESP,G,1.9,87,18-01-89,Cornellà de Llobregat,Barcelona B,
2011,a003,Barcelona,32,Marc Bartra,ESP,D,1.84,75,15-01-91,San Jaime dels Domenys,Barcelona B,
2011,a003,Barcelona,33,Sergi Gómez,ESP,D,1.81,76,28-07-92,Arenys de Mar,Barcelona B,
2011,a003,Barcelona,34,Jonathan dos Santos,MEX,M,1.8,74,26-04-90,Monterrey,Barcelona B,
2011,a003,Barcelona,35,Marc Muniesa,ESP,D,1.8,77,27-03-92,Lloret de Mar,Barcelona B,
2011,a003,Barcelona,37,Oriol Romeu,ESP,M,1.82,79,24-09-91,Ulldecona,Barcelona B,
2011,a003,Barcelona,38,Oier Olazábal,ESP,G,1.89,82,14-09-89,Irún,Real Unión,
2011,a003,Barcelona,40,Martín Montoya,ESP,D,1.74,74,14-04-91,Gavà,Barcelona B,
2011,a003,Barcelona,41,Gerard Deulofeu,ESP,F,1.79,60,13-03-94,Barcelona,Barcelona B,
2011,a003,Barcelona,36,Martí Riverola,ESP,M,1.81,74,26-01-91,Barcelona,,Vitesse (On Loan)
2011,a003,Barcelona,39,Rubén Rochina,ESP,F,1.81,70,23-03-91,Sagunto,,Blackburn R
2011,a003,Deportivo La Coruña,1,Daniel Aranzubia,ESP,G,1.84,80,18-09-79,Logroño,Athletic Bilbao,
2011,a003,Deportivo La Coruña,2,Manuel Pablo,ESP,D,1.76,80,25-01-76,Arucas,Las Palmas,
2011,a003,Deportivo La Coruña,3,Claudio Morel Rodríguez,PAR,D,1.75,76,2-2-78,Asunción,Boca Juniors,
2011,a003,Deportivo La Coruña,4,Rubén Pérez,ESP,M,1.78,72,26-04-89,Seville,Atlético Madrid B,
2011,a003,Deportivo La Coruña,5,Zé Castro,POR,D,1.83,76,13-01-83,Coimbra,Atlético Madrid,
2011,a003,Deportivo La Coruña,6,Juca,BRA,M,1.79,75,19-11-79,Passo Fundo,Partizan Belgrade,
2011,a003,Deportivo La Coruña,7,Alberto Lopo,ESP,D,1.86,81,5-5-80,Barcelona,Espanyol,
2011,a003,Deportivo La Coruña,8,Lassad Nouioui,TUN,F,1.89,78,8-3-85,Marseille,Deportivo B,
2011,a003,Deportivo La Coruña,9,Míchel,ESP,F,1.81,69,29-07-88,Valencia,Valencia B,
2011,a003,Deportivo La Coruña,10,Adrián López,ESP,F,1.8,71,8-1-88,San Martín de Teverga,Deportivo B,
2011,a003,Deportivo La Coruña,11,Riki,ESP,F,1.87,84,11-8-80,Aranjuez,Getafe,
2011,a003,Deportivo La Coruña,12,Saúl,ESP,M,1.76,78,9-4-85,Oviedo,Elche,
2011,a003,Deportivo La Coruña,13,Manu,ESP,G,1.82,77,9-3-86,Gijón,Deportivo B,
2011,a003,Deportivo La Coruña,14,Pablo Álvarez,ESP,M,1.74,67,14-05-80,Oviedo,Sporting Gijón,
2011,a003,Deportivo La Coruña,15,Laure,ESP,D,1.66,68,22-03-85,Madrid,Deportivo B,
2011,a003,Deportivo La Coruña,16,Antonio Tomás,ESP,M,1.76,75,19-01-85,Torrelavega,Racing Santander B,
2011,a003,Deportivo La Coruña,17,Xisco,ESP,F,1.86,84,27-06-86,Palma de Mallorca,Newcastle U,
2011,a003,Deportivo La Coruña,18,Andrés Guardado,MEX,M,1.69,60,28-09-86,Guadalajara,Atlas,
2011,a003,Deportivo La Coruña,19,Diego Colotto,ARG,D,1.84,81,3-10-81,Rio Cuarto,Atlas,
2011,a003,Deportivo La Coruña,20,Yves Desmarets,FRA,M,1.78,72,19-07-79,Paris,Vitória Guimarães,
2011,a003,Deportivo La Coruña,21,Juan Carlos Valerón,ESP,M,1.8,72,17-06-75,Las Palmas,Atlético Madrid,
2011,a003,Deportivo La Coruña,22,Juan Rodríguez,ESP,M,1.85,80,1-4-82,Málaga,Málaga,
2011,a003,Deportivo La Coruña,23,Aythami,ESP,D,1.85,80,2-4-86,Maspalomas,Las Palmas,
2011,a003,Deportivo La Coruña,24,José Sand,ARG,F,1.82,72,17-07-80,Bella Vista,Al-Ain,
2011,a003,Deportivo La Coruña,25,Javito,ESP,F,1.74,69,4-11-83,Moraleja,Aris,
2011,a003,Deportivo La Coruña,26,Felipe,ESP,G,1.86,86,10-1-88,Madrid,Real Madrid B,
2011,a003,Deportivo La Coruña,27,David Rochela,ESP,D,1.8,77,19-02-90,As Pontes de García Rodríguez,Deportivo B,
2011,a003,Deportivo La Coruña,28,Juan Domínguez,ESP,M,1.81,71,8-1-90,Pontedeume,Deportivo B,
2011,a003,Deportivo La Coruña,29,David Añón,ESP,F,1.72,73,3-4-89,La Coruña,Deportivo B,
2011,a003,Deportivo La Coruña,30,Stopira,CPV,D,1.8,74,20-05-88,Praia,Deportivo B,
2011,a003,Deportivo La Coruña,31,Dani Rodríguez,ESP,M,1.77,71,6-6-88,Betanzos,Deportivo B,
2011,a003,Deportivo La Coruña,32,Raúl,ESP,D,1.75,72,30-11-89,La Coruña,Deportivo B,
2011,a003,Deportivo La Coruña,33,Diego Seoane,ESP,D,1.8,75,26-04-88,Ourense,Deportivo B,
2011,a003,Deportivo La Coruña,34,Dioni,ESP,F,1.84,82,21-12-89,Málaga,Deportivo B,
2011,a003,Deportivo La Coruña,35,Diego Rivas,ESP,G,1.81,75,27-05-87,Narón,Deportivo B,
2011,a003,Deportivo La Coruña,37,Iago Beceiro,ESP,F,1.86,79,15-03-93,La Coruña,Deportivo B,
2011,a003,Deportivo La Coruña,25,Piscu,ESP,D,1.84,77,25-02-87,As Pontes de García Rodríguez,,Wigan Ath
2011,a003,Deportivo La Coruña,17,Jonathan Urretavizcaya,URU,F,1.74,62,19-03-90,Montevideo,,Benfica
2011,a003,Deportivo La Coruña,24,Knut Olav Rindarøy,NOR,D,1.77,74,17-07-85,Molde,,Molde
2011,a003,Deportivo La Coruña,36,André André,POR,M,1.77,65,26-08-89,Vila do Conde,,Varzim
2011,a003,Espanyol,1,Idriss Carlos Kameni,CMR,G,1.86,86,18-02-84,Douala,Le Havre,
2011,a003,Espanyol,2,Chica,ESP,D,1.76,78,17-05-85,Barcelona,Espanyol B,
2011,a003,Espanyol,3,David García,ESP,D,1.78,75,16-01-81,Manresa,Espanyol B,
2011,a003,Espanyol,4,Javi Márquez,ESP,M,1.74,71,11-5-86,Barcelona,Espanyol B,
2011,a003,Espanyol,5,Jordi Amat,ESP,D,1.84,80,21-03-92,Barcelona,Espanyol B,
2011,a003,Espanyol,7,Raúl Baena,ESP,M,1.79,73,2-3-89,Torrox,Espanyol B,
2011,a003,Espanyol,8,José Callejón,ESP,F,1.79,73,11-2-87,Motril,Real Madrid B,
2011,a003,Espanyol,9,Iván de la Peña,ESP,M,1.71,71,6-5-76,Santander,Barcelona,
2011,a003,Espanyol,10,Luis García,ESP,F,1.8,68,6-2-81,Oviedo,Mallorca,
2011,a003,Espanyol,11,Joan Verdú,ESP,M,1.76,72,5-5-83,Barcelona,Deportivo La Coruña,
2011,a003,Espanyol,14,Ernesto Galán,ESP,M,1.81,79,17-06-86,Madrid,Espanyol B,
2011,a003,Espanyol,15,Felipe Mattioni,BRA,D,1.77,72,15-10-88,Natural de Ijuí,Maga,
2011,a003,Espanyol,16,Javi López,ESP,M,1.79,76,21-01-86,Osuna,Betis B,
2011,a003,Espanyol,17,Pablo Daniel Osvaldo,ITA,F,1.85,78,12-1-86,Buenos Aires,Bologna,
2011,a003,Espanyol,18,Juan Forlín,ARG,D,1.8,72,10-1-88,Reconquista,Boca Juniors,
2011,a003,Espanyol,19,Sergio García,ESP,F,1.75,72,9-6-83,Barcelona,Betis,
2011,a003,Espanyol,20,Álvaro Vázquez,ESP,F,1.82,75,27-04-91,Barcelona,Espanyol B,
2011,a003,Espanyol,22,Aldo Duscher,ARG,M,1.74,72,22-03-79,Esquel,Sevilla,
2011,a003,Espanyol,23,Jesús Dátolo,ARG,M,1.77,67,19-05-84,Cañuelas,Napoli,
2011,a003,Espanyol,24,Iván Alonso,URU,F,1.8,78,10-4-79,Montevideo,Murcia,
2011,a003,Espanyol,25,Cristian Álvarez,ARG,G,1.86,88,13-11-85,General Lagos,Rosario Central,
2011,a003,Espanyol,26,Dinu Moldovan,ROU,G,1.88,72,3-5-90,Alba Iulia,Espanyol B,
2011,a003,Espanyol,29,Manu Molina,ESP,M,1.75,63,20-11-91,Huelva,Espanyol B,
2011,a003,Espanyol,31,Pau Senent,ESP,M,1.83,,3-5-92,Alicante,Espanyol B,
2011,a003,Espanyol,32,Raúl Rodríguez,ESP,D,1.83,70,22-09-87,Vilassar de Mar,Espanyol B,
2011,a003,Espanyol,33,David López,ESP,M,1.85,80,9-10-89,Barcelona,Espanyol B,
2011,a003,Espanyol,34,Víctor Álvarez,ESP,D,1.78,69,14-03-93,Barcelona,Espanyol B,
2011,a003,Espanyol,35,Rui Fonte,POR,F,1.81,73,23-03-90,Lisbon,Sporting CP,
2011,a003,Espanyol,36,Dani Nieto,ESP,F,1.73,60,4-5-91,Palma Nova,Espanyol B,
2011,a003,Espanyol,37,Eric López,ESP,M,1.78,76,1-4-93,Barcelona,Espanyol B,
2011,a003,Espanyol,38,Albert Canal,ESP,D,1.81,76,9-12-90,Barcelona,Espanyol B,
2011,a003,Espanyol,39,Thievy Bifouma,FRA,F,1.8,74,13-05-92,Saint-Denis,Espanyol Juvenil A,
2011,a003,Espanyol,40,Isaías,ESP,M,1.73,71,9-2-87,Sabadell,Espanyol B,
2011,a003,Espanyol,41,Sergi Darder,ESP,M,1.8,67,22-12-93,Artà,Espanyol B,
2011,a003,Espanyol,42,Guillem Savall,ESP,D,1.8,68,26-06-89,Barcelona,Espanyol B,
2011,a003,Espanyol,43,Albert Blázquez,ESP,D,1.77,67,21-01-92,Girona,Espanyol B,
2011,a003,Espanyol,13,Francisco Casilla,ESP,G,1.92,83,2-10-86,Alcocer,,Cartagena (On Loan)
2011,a003,Espanyol,20,Ferrán Corominas,ESP,F,1.71,70,5-1-83,Girona,,Osasuna (On Loan)
2011,a003,Espanyol,6,Víctor Ruíz,ESP,D,1.84,73,25-01-89,Esplugues de Llobregat,,Napoli
2011,a003,Espanyol,5,Dídac,ESP,D,1.86,81,9-6-89,Mataró,,Milan
2011,a003,Espanyol,27,Jordi Amat,ESP,D,1.84,80,21-03-92,Barcelona,,Re-Registered (5)
2011,a003,Espanyol,28,Álvaro Vázquez,ESP,F,1.82,75,27-04-91,Barcelona,,Re-Registered (20)
2011,a003,Getafe,1,Óscar Ustari,ARG,G,1.84,82,3-7-86,América,Independiente,
2011,a003,Getafe,2,Cata Díaz,ARG,D,1.82,74,13-03-79,San Fernando del Valle,Boca Juniors,
2011,a003,Getafe,3,Mané,ESP,D,1.75,72,22-12-81,Algeciras,Almería,
2011,a003,Getafe,4,İbrahim Kaş,TUR,D,1.83,79,20-09-86,Karabük,Beşiktaş,
2011,a003,Getafe,5,Pedro Mario,ESP,D,1.78,75,2-2-82,Tenerife,Recreativo Huelva,
2011,a003,Getafe,6,Borja Fernández,ESP,M,1.88,83,14-01-81,Orense,Valladolid,
2011,a003,Getafe,7,Miku,VEN,M,1.85,80,19-08-85,Caracas,Valencia,
2011,a003,Getafe,8,Jaime Gavilán,ESP,M,1.78,71,12-5-85,Valencia,Valencia,
2011,a003,Getafe,9,Adrián Colunga,ESP,F,1.72,70,17-11-84,Oviedo,Recreativo Huelva,
2011,a003,Getafe,10,Juan Albín,URU,M,1.79,77,17-07-86,Salto,Nacional [URU],
2011,a003,Getafe,11,Daniel Parejo,ESP,M,1.8,75,16-04-89,Madrid,Real Madrid,
