Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2013,a003,Athletic Bilbao,22,Xabier Castillo,ESP,D,1.82,71,29-03-86,Durango
2013,a003,Athletic Bilbao,23,Borja Ekiza,ESP,D,1.8,73,06-03-88,Iruñea
2013,a003,Athletic Bilbao,26,Igor Martínez,ESP,M,1.7,65,19-07-89,Vitoria
2013,a003,Athletic Bilbao,27,Iñigo Ruiz de Galarreta,ESP,M,1.74,66,06-08-93,San Sebastián
2013,a003,Athletic Bilbao,28,Jonás Ramalho,ESP,D,1.8,64,10-06-93,Barakaldo
2013,a003,Athletic Bilbao,29,Markel Etxeberria,ESP,D,1.76,74,15-02-95,Erandio
2013,a003,Athletic Bilbao,30,Kepa Arrizabalaga,ESP,G,1.86,81,03-10-94,Ondarroa
2013,a003,Athletic Bilbao,31,Guillermo,ESP,F,1.78,71,23-05-93,Bilbao
2013,a003,Athletic Bilbao,32,Enric Saborit,ESP,M,1.86,72,27-04-92,Barcelona
2013,a003,Athletic Bilbao,33,Iker Undabarrena,ESP,M,1.8,75,18-05-95,Gorliz
2013,a003,Athletic Bilbao,34,Aitor Seguín,ESP,M,1.79,67,27-04-95,Eibar
2013,a003,Athletic Bilbao,35,Ager Aketxe,ESP,M,1.74,70,30-12-93,Bilbao
2013,a003,Athletic Bilbao,36,Íñigo Eguaras,ESP,M,1.81,76,07-03-92,Antsoain
2013,a003,Athletic Bilbao,37,Iker Guarrotxena,ESP,M,1.77,67,06-12-92,Bilbao
2013,a003,Athletic Bilbao,39,Erik Morán,ESP,M,1.87,75,25-05-91,Portugalete
2013,a003,Athletic Bilbao,40,Álvaro Peña,ESP,M,1.78,70,24-10-91,Bilbao
2013,a003,Athletic Bilbao,41,Jonxa,ESP,M,1.72,61,20-07-91,Leioa
2013,a003,Athletic Bilbao,42,Gorka Santamaría,ESP,F,1.75,68,03-07-95,Bilbao
2013,a003,Athletic Bilbao,43,Martín Bengoa,ESP,M,1.75,71,21-11-94,Otxandio
2013,a003,Athletic Bilbao,24,Javi Martínez,ESP,M,1.9,81,02-09-88,Lizarra
2013,a003,Athletic Bilbao,4,Ustaritz,ESP,D,1.83,75,16-02-83,Abadiño
2013,a003,Athletic Bilbao,7,David López,ESP,M,1.81,77,10-09-82,Logroño
2013,a003,Athletic Bilbao,38,Aymeric Laporte,FRA,D,1.89,85,27-05-94,Agen
2013,a003,Atlético Madrid,1,Sergio Asenjo,ESP,G,1.82,85,28-06-89,Palencia
2013,a003,Atlético Madrid,2,Diego Godín,URU,D,1.85,73,16-02-86,Rosario
2013,a003,Atlético Madrid,3,Filipe Luis,BRA,D,1.82,70,09-08-85,Jaraguá do Sul
2013,a003,Atlético Madrid,4,Mario Suárez,ESP,M,1.85,77,24-02-87,Madrid
2013,a003,Atlético Madrid,5,Tiago,POR,M,1.83,75,02-05-81,Viana do Castelo
2013,a003,Atlético Madrid,6,Koke,ESP,M,1.78,73,08-01-92,Madrid
2013,a003,Atlético Madrid,7,Adrián López,ESP,F,1.8,71,08-01-88,San Martín de Teverga
2013,a003,Atlético Madrid,8,Raúl García,ESP,M,1.83,80,11-07-86,Pamplona
2013,a003,Atlético Madrid,9,Radamel Falcao García,COL,F,1.77,72,10-02-86,Santa Marta
2013,a003,Atlético Madrid,10,Arda Turan,TUR,M,1.76,72,30-01-87,Fatih
2013,a003,Atlético Madrid,11,Cristian Rodríguez,URU,M,1.75,72,30-09-85,Montevideo
2013,a003,Atlético Madrid,12,Jorge Pulido,ESP,D,1.81,72,08-04-91,Talavera de la Reina
2013,a003,Atlético Madrid,13,Thibaut Courtois,BEL,G,1.99,88,11-05-92,Bree
2013,a003,Atlético Madrid,14,Gabi,ESP,M,1.79,68,10-07-83,Madrid
2013,a003,Atlético Madrid,15,Domingo Cisma,ESP,D,1.84,76,09-02-82,Seville
2013,a003,Atlético Madrid,18,Cata Díaz,ARG,D,1.82,74,13-03-79,San Fernando del Valle
2013,a003,Atlético Madrid,19,Diego Costa,BRA,F,1.86,78,07-10-88,Lagarto
2013,a003,Atlético Madrid,20,Juanfran,ESP,D,1.8,72,09-01-85,Crevillent
2013,a003,Atlético Madrid,22,Emiliano Insúa,ARG,D,1.73,82,07-01-89,Buenos Aires
2013,a003,Atlético Madrid,23,Miranda,BRA,D,1.85,78,07-09-84,Paranavaí
2013,a003,Atlético Madrid,26,Javi Manquillo,ESP,D,1.72,62,05-05-94,Madrid
2013,a003,Atlético Madrid,28,Saúl Ñiguez,ESP,M,1.82,73,21-11-94,Elche
2013,a003,Atlético Madrid,29,Nacho Monsalve,ESP,D,,,27-04-94,Madrid
2013,a003,Atlético Madrid,30,Óliver Torres,ESP,M,1.78,70,10-11-94,Navalmoral de la Mata
2013,a003,Atlético Madrid,31,Borja Galán,ESP,F,1.83,73,26-04-93,Madrid
2013,a003,Atlético Madrid,32,David Prior,ESP,M,,,11-01-93,Madrid
2013,a003,Atlético Madrid,34,Iván Calero,ESP,M,1.74,64,24-03-95,Parla
2013,a003,Atlético Madrid,35,Fallou Gallas,SEN,D,1.77,68,13-04-94,
2013,a003,Atlético Madrid,36,Daniel Aquino,ESP,F,1.74,68,27-07-90,Murcia
2013,a003,Atlético Madrid,37,David Gil,ESP,G,1.83,73,11-01-94,Getafe
2013,a003,Atlético Madrid,38,Pedro Astray,ESP,M,1.82,70,18-03-92,Madrid
2013,a003,Atlético Madrid,39,Luis Ruiz,ESP,D,1.81,73,30-06-92,Huelva
2013,a003,Atlético Madrid,40,Domènech Fernández,ESP,F,,,22-01-92,Madrid
2013,a003,Atlético Madrid,41,Momar N'Doye,SEN,F,1.78,68,10-03-92,Pikine
2013,a003,Atlético Madrid,42,Abdelkader Oueslati,TUN,M,1.84,71,07-10-91,Ollioules
2013,a003,Atlético Madrid,43,Thomas Partey,GHA,M,1.85,73,13-07-93,Odumase Krobo
2013,a003,Atlético Madrid,44,Samuel Villa,ESP,M,1.7,68,16-09-94,Leganés
2013,a003,Atlético Madrid,17,Sílvio,POR,D,1.78,72,28-09-87,Lisbon
2013,a003,Atlético Madrid,25,Joel Robles,ESP,G,1.95,85,17-06-90,Leganés
2013,a003,Atlético Madrid,27,Pedro Martín,ESP,F,1.91,76,16-01-92,Málaga
2013,a003,Atlético Madrid,21,Emre Belözoğlu,TUR,M,1.71,68,07-09-80,Istanbul
2013,a003,Atlético Madrid,33,Kity,ESP,M,,,12-11-92,
2013,a003,Barcelona,1,Víctor Valdés,ESP,G,1.83,78,14-01-82,L'Hospitalet de Llobregat
2013,a003,Barcelona,2,Daniel Alves,BRA,D,1.73,64,06-05-83,Juazeiro
2013,a003,Barcelona,3,Gerard Piqué,ESP,D,1.92,85,02-02-87,Barcelona
2013,a003,Barcelona,4,Cesc Fàbregas,ESP,M,1.77,69,04-05-87,Arenys de Mar
2013,a003,Barcelona,5,Carles Puyol,ESP,D,1.78,80,13-04-78,La Pobla de Segur
2013,a003,Barcelona,6,Xavi,ESP,M,1.7,68,25-01-80,Terrassa
2013,a003,Barcelona,7,David Villa,ESP,F,1.75,69,03-12-81,Langreo
2013,a003,Barcelona,8,Andrés Iniesta,ESP,M,1.7,65,11-05-84,Fuentealbilla
2013,a003,Barcelona,9,Alexis Sánchez,CHI,F,1.68,62,19-12-88,Tocopilla
2013,a003,Barcelona,10,Lionel Messi,ARG,M,1.69,67,24-06-87,Santa Fe
2013,a003,Barcelona,11,Thiago Alcántara,ESP,M,1.65,60,11-04-91,Bari
2013,a003,Barcelona,12,Jonathan dos Santos,MEX,M,1.8,74,26-04-90,Monterrey
2013,a003,Barcelona,13,José Manuel Pinto,ESP,G,1.85,82,15-11-75,Puerto de Santa Maria
2013,a003,Barcelona,14,Javier Mascherano,ARG,M,1.78,77,08-06-84,Rosario
2013,a003,Barcelona,15,Marc Bartra,ESP,D,1.84,75,15-01-91,San Jaime dels Domenys
2013,a003,Barcelona,16,Sergio Busquets,ESP,M,1.89,73,16-07-88,Sabadell
2013,a003,Barcelona,17,Pedro,ESP,F,1.69,64,28-07-87,Santa Cruz de Tenerife
2013,a003,Barcelona,18,Jordi Alba,ESP,D,1.65,63,21-03-89,L'Hospitalet de Llobregat
2013,a003,Barcelona,19,Martín Montoya,ESP,D,1.74,74,14-04-91,Gavà
2013,a003,Barcelona,21,Adriano,BRA,M,1.72,67,26-10-84,Curitiba
2013,a003,Barcelona,22,Eric Abidal,FRA,D,1.86,75,11-07-79,Lyon
2013,a003,Barcelona,25,Alexandre Song,CMR,M,1.84,76,09-09-87,Douala
2013,a003,Barcelona,26,Sergi Gómez,ESP,D,1.81,76,28-07-92,Arenys de Mar
2013,a003,Barcelona,27,Gerard Deulofeu,ESP,F,1.79,60,13-03-94,Barcelona
2013,a003,Barcelona,28,Sergi Roberto,ESP,M,1.73,70,07-02-92,Reus
2013,a003,Barcelona,29,Carles Planas,ESP,D,1.8,80,04-03-91,Sant Celoni
2013,a003,Barcelona,30,Rafinha,BRA,M,1.77,75,12-02-93,Bari
2013,a003,Barcelona,31,Oier Olazábal,ESP,G,1.89,82,14-09-89,Irún
2013,a003,Barcelona,32,Jordi Masip,ESP,G,1.77,65,03-01-89,Sabadell
2013,a003,Barcelona,33,Marc Muniesa,ESP,D,1.8,77,27-03-92,Lloret de Mar
2013,a003,Barcelona,37,Cristian Tello,ESP,F,1.78,66,19-08-91,Sabadell
2013,a003,Barcelona,20,Ibrahim Afellay,NED,M,1.81,68,02-04-86,Utrecht
2013,a003,Barcelona,24,Andreu Fontàs,ESP,M,1.81,72,14-11-89,Banyoles
2013,a003,Barcelona,23,Isaac Cuenca,ESP,F,1.81,74,27-04-91,Reus
2013,a003,Betis,1,Casto,ESP,G,1.8,82,18-06-82,Badajoz
2013,a003,Betis,2,Chica,ESP,D,1.76,78,17-05-85,Barcelona
2013,a003,Betis,3,Pedro Mario,ESP,D,1.78,75,02-02-82,Tenerife
2013,a003,Betis,4,Antonio Amaya,ESP,D,1.92,86,31-05-83,Madrid
2013,a003,Betis,6,Álex Martínez,ESP,M,1.76,64,12-08-90,Seville
2013,a003,Betis,7,Ángel,ESP,D,1.81,71,10-03-81,Santa Lucia de Tirajana
2013,a003,Betis,8,Rubén Pérez,ESP,M,1.78,72,26-04-89,Seville
2013,a003,Betis,9,Álvaro Vadillo,ESP,M,1.8,69,12-09-94,Puerto Real
2013,a003,Betis,10,Beñat,ESP,M,1.75,72,19-02-87,Igorre
2013,a003,Betis,11,Alejandro Pozuelo,ESP,F,1.7,63,20-09-91,Seville
2013,a003,Betis,12,Paulão,BRA,D,1.88,82,06-05-82,Lagoa Grande
2013,a003,Betis,13,Adrián,ESP,G,1.88,77,03-01-87,Seville
2013,a003,Betis,14,Salva Sevilla,ESP,M,1.78,70,18-03-84,Almería
2013,a003,Betis,15,Joel Campbell,CRC,F,1.78,70,26-06-92,San José [CRC]
2013,a003,Betis,16,Damien Perquis,POL,D,1.84,80,10-04-84,Troyes
2013,a003,Betis,17,Juan Carlos,ESP,M,1.76,68,30-03-90,Madrid
2013,a003,Betis,18,Guillermo Molins,SWE,M,1.86,81,26-09-88,Montevideo
2013,a003,Betis,19,Jorge Molina,ESP,F,1.88,87,22-04-82,Alcoy
2013,a003,Betis,20,Emmanuel Nosa Igiebor,NGA,M,1.82,79,09-11-90,Abuja
2013,a003,Betis,21,José Alberto Cañas,ESP,M,1.77,64,27-05-87,Jerez de la Frontera
2013,a003,Betis,22,Dorlan Pabón,COL,F,1.68,68,24-01-88,Bogotá
2013,a003,Betis,23,Nacho,ESP,M,1.77,70,24-06-80,Huelva
2013,a003,Betis,24,Rubén Castro,ESP,F,1.74,72,27-06-81,Las Palmas
2013,a003,Betis,25,Fabricio,ESP,G,1.85,77,31-12-87,Las Palmas
2013,a003,Betis,27,Fausto Tienza,ESP,M,1.83,75,08-01-90,Talavera la Real
2013,a003,Betis,28,Manu Herrera,ESP,D,1.82,72,25-04-90,Marchena
2013,a003,Betis,29,Nono,ESP,M,1.78,72,30-03-93,Puerto de Santa María
2013,a003,Betis,30,Eder Vilarchao,ESP,M,1.83,62,09-02-90,Barakaldo
2013,a003,Betis,32,Manuel Palancar,ESP,D,1.76,66,01-01-90,Seville
2013,a003,Betis,33,Francisco Varela,ESP,D,1.74,68,26-10-94,Atarfe
2013,a003,Betis,34,Carlos García,ESP,M,1.65,56,17-09-93,Seville
2013,a003,Betis,35,Borja Navarro,ESP,D,1.79,71,05-01-89,
2013,a003,Betis,36,José Antonio Caro,ESP,D,1.83,70,08-03-93,Estepa
2013,a003,Betis,38,Eneko Eizmendi,ESP,M,1.71,66,10-06-90,San Sebastián
2013,a003,Betis,39,Sergio,ESP,F,1.69,65,07-09-92,Seville
2013,a003,Betis,7,Juanma,ESP,M,1.76,72,29-05-81,Don Benito
2013,a003,Betis,9,Jonathan Pereira,ESP,F,1.66,61,12-05-87,Vigo
2013,a003,Betis,18,Salvador Agra,POR,F,1.66,60,11-11-91,Vila do Conde
2013,a003,Betis,5,José Antonio Dorado,ESP,D,1.8,69,10-07-82,Córdoba
2013,a003,Betis,27,Álvaro Vadillo,ESP,M,1.8,69,12-09-94,Puerto Real
2013,a003,Betis,22,Nélson,POR,D,1.72,65,10-06-83,Praia
2013,a003,Celta Vigo,1,Sergio Álvarez,ESP,G,1.79,75,03-08-86,Catoria
2013,a003,Celta Vigo,2,Hugo Mallo,ESP,D,1.81,78,22-06-91,Marín
2013,a003,Celta Vigo,3,Roberto Lago,ESP,M,1.78,76,30-08-85,Vigo
2013,a003,Celta Vigo,4,Borja Oubiña,ESP,M,1.81,75,17-05-82,Vigo
2013,a003,Celta Vigo,5,Andrés Tuñez,VEN,D,1.87,83,15-03-87,Santiago de Compostela
2013,a003,Celta Vigo,6,Jonathan Vila,ESP,M,1.86,78,06-03-86,Porriño
2013,a003,Celta Vigo,8,Álex López,ESP,M,1.75,64,11-01-88,Ferrol
2013,a003,Celta Vigo,9,Mario Bermejo,ESP,F,1.8,78,07-10-78,Santander
2013,a003,Celta Vigo,10,Iago Aspas,ESP,F,1.76,67,11-08-87,Moaña
2013,a003,Celta Vigo,11,Danijel Pranjić,CRO,M,1.72,67,02-12-81,Našice
2013,a003,Celta Vigo,12,Gustavo Cabral,ARG,D,1.82,81,14-10-85,Isidro Casanova
2013,a003,Celta Vigo,13,Javi Varas,ESP,G,1.82,73,10-09-82,Seville
2013,a003,Celta Vigo,15,Vladim Demidov,NOR,D,1.85,73,10-10-86,Riga
2013,a003,Celta Vigo,16,Carlos Bellvis,ESP,M,1.69,68,24-04-85,Valencia
2013,a003,Celta Vigo,18,Park Chu-Young,KOR,F,1.82,75,10-07-85,Daegu
2013,a003,Celta Vigo,19,Fabián Orellana,CHI,F,1.69,68,27-01-86,Santiago
2013,a003,Celta Vigo,20,Toni,ESP,F,1.76,74,04-04-90,La Coruña
2013,a003,Celta Vigo,21,Samuel,ESP,D,1.87,83,26-04-85,Alicante
2013,a003,Celta Vigo,22,Enrique De Lucas,ESP,M,1.74,68,17-08-78,Hospitalet de Llobregat
2013,a003,Celta Vigo,23,Michael Krohn-Dehli,DEN,M,1.7,71,06-06-83,Copenhagen
2013,a003,Celta Vigo,24,Augusto Fernández,ARG,M,1.77,71,10-04-86,Pergamino
2013,a003,Celta Vigo,25,Natxo Insa,ESP,M,1.77,70,09-06-86,Cocentaina
2013,a003,Celta Vigo,26,Rubén Blanco,ESP,G,1.88,70,25-07-95,Vigo
2013,a003,Celta Vigo,28,Johny,ESP,D,1.75,70,03-03-94,Vigo
2013,a003,Celta Vigo,29,Lévy Madinda,GAB,M,1.82,77,11-06-92,Libreville
2013,a003,Celta Vigo,30,Antón de Vicente,ESP,M,1.78,74,23-08-89,Vigo
2013,a003,Celta Vigo,31,Santi Mina,ESP,F,1.8,71,07-12-95,Vigo
2013,a003,Celta Vigo,11,Jota,ESP,M,1.8,67,16-06-91,A Pobra do Caramiñal
2013,a003,Celta Vigo,18,David Rodríguez,ESP,F,1.78,72,14-02-86,Talavera de la Reina
2013,a003,Celta Vigo,17,Joan Tomás,ESP,F,1.67,70,17-05-85,Girona
2013,a003,Celta Vigo,14,Cristian Bustos,ESP,M,1.75,75,29-05-83,Alicante
2013,a003,Celta Vigo,7,Dani Abalo,ESP,M,1.74,68,29-09-87,Pontevedra
2013,a003,Deportivo La Coruña,1,Daniel Aranzubia,ESP,G,1.84,80,18-09-79,Logroño
2013,a003,Deportivo La Coruña,2,Manuel Pablo,ESP,D,1.76,80,25-01-76,Arucas
2013,a003,Deportivo La Coruña,3,Evaldo,BRA,D,1.84,80,18-03-82,Rio Piracicaba
2013,a003,Deportivo La Coruña,4,Alex Bergantiños,ESP,M,1.77,71,07-06-85,La Coruña
2013,a003,Deportivo La Coruña,5,Zé Castro,POR,D,1.83,76,13-01-83,Coimbra
2013,a003,Deportivo La Coruña,6,Aythami,ESP,D,1.85,80,02-04-86,Maspalomas
2013,a003,Deportivo La Coruña,8,André Santos,POR,M,1.76,70,02-03-89,Sobreiro Curvo
2013,a003,Deportivo La Coruña,9,Pizzi,POR,F,1.77,69,06-10-89,Bragança
2013,a003,Deportivo La Coruña,10,Juan Domínguez,ESP,M,1.81,71,08-01-90,Pontedeume
2013,a003,Deportivo La Coruña,11,Riki,ESP,F,1.87,84,11-08-80,Aranjuez
2013,a003,Deportivo La Coruña,12,Paulo Assunção,BRA,M,1.75,67,25-01-80,Varzea Grande
2013,a003,Deportivo La Coruña,13,Germán Lux,ARG,G,1.86,77,06-07-82,Carcarañá
2013,a003,Deportivo La Coruña,14,Abel Aguilar,COL,M,1.85,82,06-01-85,Santa Fe de Bogota
2013,a003,Deportivo La Coruña,15,Laure,ESP,D,1.66,68,22-03-85,Madrid
2013,a003,Deportivo La Coruña,16,Bruno Gama,POR,M,1.77,71,15-11-87,Vila Verde
2013,a003,Deportivo La Coruña,17,Ayoze,ESP,D,1.75,70,25-05-82,La Laguna
2013,a003,Deportivo La Coruña,18,Javier Camuñas,ESP,M,1.73,71,17-07-80,Madrid
2013,a003,Deportivo La Coruña,19,Sílvio,POR,D,1.78,72,28-09-87,Lisbon
2013,a003,Deportivo La Coruña,20,Jesús Vázquez,ESP,M,1.82,78,18-10-80,Seville
2013,a003,Deportivo La Coruña,21,Juan Carlos Valerón,ESP,M,1.8,72,17-06-75,Las Palmas
2013,a003,Deportivo La Coruña,22,Diogo Salomão,POR,M,1.75,68,14-09-88,Amadora
2013,a003,Deportivo La Coruña,23,Kaká,BRA,D,1.87,81,16-05-81,São José do Belmonte
2013,a003,Deportivo La Coruña,24,Carlos Marchena,ESP,D,1.83,78,31-07-79,Las Cabezas
2013,a003,Deportivo La Coruña,25,Nélson Oliveira,POR,F,1.86,82,08-08-91,Barcelos
2013,a003,Deportivo La Coruña,26,Marc Martínez,ESP,G,1.85,74,04-04-90,Barcelona
2013,a003,Deportivo La Coruña,28,Pablo Insua,ESP,D,1.86,75,09-09-93,Arzua
2013,a003,Deportivo La Coruña,19,Roderick Miranda,POR,D,1.93,85,30-03-91,Odivelas
2013,a003,Deportivo La Coruña,29,Tiago Pinto,POR,D,1.77,75,01-02-88,Porto
2013,a003,Deportivo La Coruña,33,Diego Seoane,ESP,D,1.8,75,26-04-88,Ourense
2013,a003,Deportivo La Coruña,7,Saúl,ESP,M,1.76,78,09-04-85,Oviedo
2013,a003,Deportivo La Coruña,23,Rodolfo Bodipo,EQG,F,1.81,76,25-10-77,Seville
2013,a003,Espanyol,1,Cristian Álvarez,ARG,G,1.86,88,13-11-85,General Lagos
2013,a003,Espanyol,2,Felipe Mattioni,BRA,D,1.77,72,15-10-88,Natural de Ijuí
2013,a003,Espanyol,3,Raúl Rodríguez,ESP,D,1.83,70,22-09-87,Vilassar de Mar
2013,a003,Espanyol,4,Víctor Sánchez,ESP,D,1.74,73,08-09-87,Terrassa
2013,a003,Espanyol,5,Sergio Tejera,ESP,M,1.83,76,28-05-90,Barcelona
2013,a003,Espanyol,6,Juan Forlín,ARG,D,1.8,72,10-01-88,Reconquista
2013,a003,Espanyol,7,Raúl Baena,ESP,M,1.79,73,02-03-89,Torrox
2013,a003,Espanyol,8,Christian Stuani,URU,F,1.85,74,12-10-86,Tala
2013,a003,Espanyol,9,Sergio García,ESP,F,1.75,72,09-06-83,Barcelona
2013,a003,Espanyol,10,Joan Verdú,ESP,M,1.76,72,05-05-83,Barcelona
2013,a003,Espanyol,12,Samuele Longo,ITA,F,1.85,77,12-01-92,Valdobbiadene
2013,a003,Espanyol,13,Francisco Casilla,ESP,G,1.92,83,02-10-86,Alcocer
2013,a003,Espanyol,15,Héctor Moreno,MEX,D,1.82,80,17-01-88,Culiacán
2013,a003,Espanyol,16,Javi López,ESP,M,1.79,76,21-01-86,Osuna
2013,a003,Espanyol,17,Martin Petrov,BUL,M,1.8,76,15-01-79,Vzatza
2013,a003,Espanyol,18,Joan Capdevila,ESP,D,1.82,78,03-02-78,Tarrega
2013,a003,Espanyol,19,Diego Colotto,ARG,D,1.84,81,03-10-81,Rio Cuarto
2013,a003,Espanyol,20,Simão,POR,F,1.7,64,31-10-79,Constantim
2013,a003,Espanyol,22,Wakaso Mubarak,GHA,M,1.65,79,25-07-90,Tamale
2013,a003,Espanyol,23,Cristian Gómez,ESP,M,1.81,75,27-07-89,L'Hospitalet de Llobregat
2013,a003,Espanyol,24,Christian,ESP,M,1.83,77,02-05-89,Barcelona
2013,a003,Espanyol,26,Edgar Badía,ESP,G,1.81,76,12-02-92,Barcelona
2013,a003,Espanyol,27,Víctor Álvarez,ESP,D,1.78,69,14-03-93,Barcelona
2013,a003,Espanyol,28,Carlos Clerc,ESP,M,1.8,72,21-02-92,Barcelona
2013,a003,Espanyol,29,Fran Miranda,ESP,M,1.89,84,27-03-88,Badajoz
2013,a003,Espanyol,33,Rubén Duarte,ESP,D,1.72,68,18-10-95,Almería
2013,a003,Espanyol,34,David Cubillas,ESP,F,1.9,78,19-06-90,Castellón
2013,a003,Espanyol,35,Germán Parreño,ESP,G,1.89,78,16-02-93,Elche
2013,a003,Espanyol,36,Jonathan de Amo,ESP,D,1.9,81,13-01-90,Barcelona
2013,a003,Espanyol,38,Ferrán,ESP,D,1.93,78,06-12-92,Alcúdia
2013,a003,Espanyol,8,Álvaro Vázquez,ESP,F,1.82,75,27-04-91,Barcelona
2013,a003,Espanyol,28,Thievy Bifouma,FRA,F,1.8,74,13-05-92,Saint-Denis
2013,a003,Espanyol,17,Juan Albín,URU,M,1.79,77,17-07-86,Salto
2013,a003,Espanyol,11,Rui Fonte,POR,F,1.81,73,23-03-90,Lisbon
2013,a003,Espanyol,14,Ernesto Galán,ESP,M,1.81,79,17-06-86,Madrid
2013,a003,Getafe,1,Miguel Ángel Moyá,ESP,G,1.85,75,02-04-84,Binissalem
2013,a003,Getafe,2,Alexis,ESP,D,1.83,75,04-08-85,Málaga
2013,a003,Getafe,3,Mané,ESP,D,1.75,72,22-12-81,Algeciras
2013,a003,Getafe,4,Miguel Torres,ESP,D,1.84,78,28-01-86,Madrid
2013,a003,Getafe,5,Mehdi Lacen,ALG,M,1.76,74,15-03-84,Versailles
2013,a003,Getafe,6,Alberto Lopo,ESP,D,1.86,81,05-05-80,Barcelona
2013,a003,Getafe,7,Álvaro Vázquez,ESP,F,1.82,75,27-04-91,Barcelona
2013,a003,Getafe,8,Pablo Sarabia,ESP,M,1.77,72,11-05-92,Madrid
2013,a003,Getafe,9,Paco Alcácer,ESP,F,1.74,71,30-08-93,Torrent
2013,a003,Getafe,10,Jaime Gavilán,ESP,M,1.78,71,12-05-85,Valencia
2013,a003,Getafe,11,Adrián Colunga,ESP,F,1.72,70,17-11-84,Oviedo
2013,a003,Getafe,12,Federico Fernández,ARG,D,1.9,83,21-02-89,Tres Algarrobos
2013,a003,Getafe,13,Jordi Codina,ESP,G,1.84,79,27-04-82,Barcelona
2013,a003,Getafe,14,Pedro León,ESP,M,1.82,70,24-11-86,Mula
2013,a003,Getafe,15,Rafa,ESP,D,1.83,72,09-04-85,Peñafiel
2013,a003,Getafe,16,Sergio Escudero,ESP,D,1.76,65,02-09-89,Valladolid
2013,a003,Getafe,17,Diego Castro,ESP,F,1.74,71,02-07-82,Pontevedra
2013,a003,Getafe,18,Ángel Lafita,ESP,M,1.88,75,07-08-84,Zaragoza
2013,a003,Getafe,19,Abdelaziz Barrada,MAR,M,1.79,73,19-06-89,Provins
2013,a003,Getafe,20,Juan Valera,ESP,D,1.84,70,21-12-84,La Copa de Bullas
2013,a003,Getafe,21,Míchel,ESP,M,1.83,72,09-11-85,Pola de Lena
2013,a003,Getafe,22,Juan Rodríguez,ESP,M,1.85,80,01-04-82,Málaga
2013,a003,Getafe,23,Borja Fernández,ESP,M,1.88,83,14-01-81,Orense
2013,a003,Getafe,24,Hugo Fraile,ESP,F,1.7,62,16-03-87,Huelva
2013,a003,Getafe,25,Xavi Torres,ESP,M,1.82,76,21-11-86,Jávea
2013,a003,Getafe,27,Samuel,ESP,M,1.74,68,22-01-91,Madrid
2013,a003,Getafe,28,Diego Benito,ESP,M,1.78,70,25-08-88,Madrid
2013,a003,Getafe,30,José Ruíz,ESP,D,1.77,75,26-03-90,Valencia
2013,a003,Getafe,32,Sergio Postigo,ESP,D,1.84,78,04-11-88,Madrid
2013,a003,Getafe,33,Alberto Domínguez,ESP,G,1.81,75,11-02-88,Santiago de Compostela
2013,a003,Getafe,35,Tomeu Nadal,ESP,G,1.9,77,08-02-89,Manacor
2013,a003,Getafe,12,Álvaro Arroyo,ESP,D,1.8,71,22-07-88,Madrid
2013,a003,Getafe,7,Miku,VEN,M,1.85,80,19-08-85,Caracas
2013,a003,Getafe,9,Dani Güiza,ESP,F,1.8,80,17-08-80,Jerez de la Frontera
